Total Line Failures,Steady State,Accumulation of Failed Capacities,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Region of Failure,Mean of T,Variance of T
24,23,855.0,5,3,4,1,2,9,0.20833333333333334,0.125,0.16666666666666666,0.041666666666666664,0.08333333333333333,0.375,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5, 5, 5, 5, 5, 0]",2.7916666666666665,4.081597222222222
25,-1,1092.0,6,3,4,1,2,9,0.24,0.12,0.16,0.04,0.08,0.36,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5, 5, 5, 5, 5, 0, 0]",2.68,4.2176
3,-1,1111.0,0,1,2,0,0,0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,"[1, 2, 2]",1.6666666666666667,0.2222222222222222
3,-1,1100.0,0,0,2,0,0,1,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,"[2, 2, 5]",3.0,2.0
3,2,524.0,1,1,1,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,"[1, 2, 0]",1.0,0.6666666666666666
4,3,410.0,1,2,1,0,0,0,0.25,0.5,0.25,0.0,0.0,0.0,"[1, 2, 0, 1]",1.0,0.5
5,4,427.0,1,2,1,0,1,0,0.2,0.4,0.2,0.0,0.2,0.0,"[1, 2, 0, 1, 4]",1.6,1.8399999999999999
6,5,521.0,1,2,2,0,1,0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,"[1, 2, 0, 1, 4, 2]",1.6666666666666667,1.5555555555555554
7,6,546.0,1,2,3,0,1,0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.0,"[1, 2, 0, 1, 4, 2, 2]",1.7142857142857142,1.3469387755102038
8,7,448.0,1,2,3,0,2,0,0.125,0.25,0.375,0.0,0.25,0.0,"[1, 2, 0, 1, 4, 2, 2, 4]",2.0,1.75
9,8,440.0,1,2,4,0,2,0,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.0,0.2222222222222222,0.0,"[1, 2, 0, 1, 4, 2, 2, 4, 2]",2.0,1.5555555555555556
10,9,183.0,1,2,4,0,3,0,0.1,0.2,0.4,0.0,0.3,0.0,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4]",2.2,1.7600000000000002
11,10,251.0,1,2,5,0,3,0,0.09090909090909091,0.18181818181818182,0.45454545454545453,0.0,0.2727272727272727,0.0,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2]",2.1818181818181817,1.603305785123967
12,11,384.0,1,2,5,0,4,0,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.0,0.3333333333333333,0.0,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4]",2.3333333333333335,1.7222222222222223
13,12,473.0,1,2,5,0,5,0,0.07692307692307693,0.15384615384615385,0.38461538461538464,0.0,0.38461538461538464,0.0,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4]",2.4615384615384617,1.7869822485207103
14,13,500.0,1,2,5,0,6,0,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.0,0.42857142857142855,0.0,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4]",2.5714285714285716,1.8163265306122451
15,14,522.0,1,2,5,0,6,1,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.0,0.4,0.06666666666666667,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5]",2.7333333333333334,2.0622222222222217
16,15,488.0,1,2,5,0,6,2,0.0625,0.125,0.3125,0.0,0.375,0.125,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5]",2.875,2.234375
17,16,404.0,1,2,5,0,7,2,0.058823529411764705,0.11764705882352941,0.29411764705882354,0.0,0.4117647058823529,0.11764705882352941,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4]",2.9411764705882355,2.1730103806228374
18,17,678.0,1,3,5,0,7,2,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.0,0.3888888888888889,0.1111111111111111,"[1, 2, 0, 1, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 5, 5, 4, 1]",2.8333333333333335,2.25
