Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Region of Failure,Mean of T,Variance of T
8,0.0,-1.0,-1.0,6976.340000000001,7,50.0,200.0,105,50.0,288.0,288.0,6688.340000000001,6688.790810860323,2,1,1,1,1,2,0.25,0.125,0.125,0.125,0.125,0.25,"[0, 5, 5, 1, 4, 3, 0, 2]",2.5,3.75
9,0.0,-1.0,-1.0,6976.340000000001,8,50.0,200.0,116,100.0,424.0,424.0,6552.340000000001,6552.360216917958,3,1,1,1,1,2,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,"[0, 5, 5, 1, 4, 3, 0, 2, 0]",2.2222222222222223,3.9506172839506175
10,0.0,-1.0,-1.0,6976.340000000001,9,50.0,200.0,108,50.0,315.0,315.0,6661.340000000001,6661.289431298589,4,1,1,1,1,2,0.4,0.1,0.1,0.1,0.1,0.2,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0]",2.0,4.0
11,0.0,-1.0,-1.0,6976.340000000001,10,50.0,200.0,106,100.0,495.0,495.0,6481.340000000001,6481.387520685272,4,1,2,1,1,2,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2]",2.0,3.6363636363636362
12,0.0,-1.0,-1.0,6976.340000000001,11,50.0,200.0,137,50.0,517.0,517.0,6459.340000000001,6459.67081669157,4,1,2,1,1,3,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.25,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5]",2.25,4.020833333333333
13,0.0,-1.0,-1.0,6976.340000000001,12,50.0,200.0,38,200.0,721.0,721.0,6255.340000000001,6255.603682608279,4,2,2,1,1,3,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.23076923076923078,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1]",2.1538461538461537,3.8224852071005917
14,0.0,-1.0,-1.0,6976.340000000001,13,50.0,200.0,31,200.0,861.0,861.0,6115.340000000001,6115.798246570953,4,3,2,1,1,3,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.21428571428571427,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1]",2.0714285714285716,3.637755102040816
15,0.0,-1.0,-1.0,6976.340000000001,14,50.0,200.0,98,50.0,1102.0,1102.0,5874.340000000001,5874.800188862037,4,3,3,1,1,3,0.26666666666666666,0.2,0.2,0.06666666666666667,0.06666666666666667,0.2,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2]",2.066666666666667,3.3955555555555557
16,0.0,-1.0,-1.0,6976.340000000001,15,50.0,200.0,99,50.0,827.0,827.0,6149.340000000001,6149.228857129831,4,3,4,1,1,3,0.25,0.1875,0.25,0.0625,0.0625,0.1875,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2]",2.0625,3.18359375
17,0.0,-1.0,-1.0,6976.340000000001,16,50.0,200.0,51,50.0,664.0,664.0,6312.340000000001,6312.285794684313,4,3,4,1,2,3,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.11764705882352941,0.17647058823529413,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4]",2.176470588235294,3.2041522491349483
18,0.0,-1.0,-1.0,6976.340000000001,17,50.0,200.0,136,50.0,583.0,583.0,6393.340000000001,6392.902846956514,4,3,4,1,2,4,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.1111111111111111,0.2222222222222222,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5]",2.3333333333333335,3.4444444444444446
19,0.0,-1.0,-1.0,6976.340000000001,18,50.0,200.0,144,50.0,655.0,655.0,6321.340000000001,6321.090674358603,4,3,4,1,2,5,0.21052631578947367,0.15789473684210525,0.21052631578947367,0.05263157894736842,0.10526315789473684,0.2631578947368421,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5]",2.473684210526316,3.617728531855956
20,0.0,-1.0,-1.0,6976.340000000001,19,50.0,200.0,138,50.0,659.0,659.0,6317.340000000001,6317.65297706506,4,3,4,1,2,6,0.2,0.15,0.2,0.05,0.1,0.3,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5, 5]",2.6,3.7400000000000007
21,0.0,-1.0,-1.0,6976.340000000001,20,50.0,200.0,139,100.0,741.0,741.0,6235.340000000001,6235.0427281929215,4,3,4,1,2,7,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.3333333333333333,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5, 5, 5]",2.7142857142857144,3.823129251700682
