Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region of Failure
20,0.0,-1.0,-1.0,6976.340000000001,19,50.0,200.0,138,50.0,659.0,659.0,6317.340000000001,6317.65297706506,5,15,0.25,0.75,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]"
21,0.0,-1.0,-1.0,6976.340000000001,20,50.0,200.0,139,100.0,741.0,741.0,6235.340000000001,6235.0427281929215,5,16,0.23809523809523808,0.7619047619047619,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1]"
22,0.0,-1.0,-1.0,6976.340000000001,21,50.0,200.0,145,50.0,565.0,565.0,6411.340000000001,6411.183191575578,5,17,0.22727272727272727,0.7727272727272727,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]"
23,0.0,-1.0,-1.0,6976.340000000001,22,50.0,200.0,154,100.0,770.0,770.0,6206.340000000001,6206.669569780237,5,18,0.21739130434782608,0.782608695652174,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
24,0.0,-1.0,-1.0,6976.340000000001,23,50.0,200.0,113,50.0,855.0,855.0,6121.340000000001,6121.669559279266,5,19,0.20833333333333334,0.7916666666666666,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
25,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,122,50.0,1092.0,1092.0,5884.340000000001,5884.052665796787,5,20,0.2,0.8,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1111.0,1111.0,5865.340000000001,5865.336083897224,3,0,1.0,0.0,"[0, 0, 0]"
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1100.0,1100.0,5876.340000000001,5876.505268704069,1,2,0.3333333333333333,0.6666666666666666,"[0, 1, 1]"
3,200.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,524.0,524.0,6452.340000000001,6452.806990648216,1,2,0.3333333333333333,0.6666666666666666,"[1, 0, 1]"
4,0.0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,33,50.0,410.0,410.0,6566.340000000001,6566.567555867865,2,2,0.5,0.5,"[1, 0, 1, 0]"
5,0.0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,7,50.0,427.0,427.0,6549.340000000001,6549.152966579241,3,2,0.6,0.4,"[1, 0, 1, 0, 0]"
6,0.0,-1.0,-1.0,6976.340000000001,5,50.0,200.0,98,50.0,521.0,521.0,6455.340000000001,6454.971754447672,3,3,0.5,0.5,"[1, 0, 1, 0, 0, 1]"
7,0.0,-1.0,-1.0,6976.340000000001,6,50.0,200.0,99,50.0,546.0,546.0,6430.340000000001,6430.128206309779,3,4,0.42857142857142855,0.5714285714285714,"[1, 0, 1, 0, 0, 1, 1]"
8,0.0,-1.0,-1.0,6976.340000000001,7,50.0,200.0,51,50.0,448.0,448.0,6528.340000000001,6528.7830390256195,4,4,0.5,0.5,"[1, 0, 1, 0, 0, 1, 1, 0]"
9,0.0,-1.0,-1.0,6976.340000000001,8,50.0,200.0,105,50.0,440.0,440.0,6536.340000000001,6536.565309215749,4,5,0.4444444444444444,0.5555555555555556,"[1, 0, 1, 0, 0, 1, 1, 0, 1]"
10,0.0,-1.0,-1.0,6976.340000000001,9,50.0,200.0,21,50.0,183.0,183.0,6793.340000000001,6793.5568943781345,5,5,0.5,0.5,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0]"
